ticker,name,sector,sub_industry
EMR,EMERSON ELECTRIC CO,Industrials,Specialty Industrial Machinery
EOG,EOG RESOURCES INC,Energy,Oil & Gas E&P
EQIX,EQUINIX INC,Real Estate,REIT - Specialty
EQT,EQT CORP,Energy,Oil & Gas E&P
ERIE,ERIE INDEMNITY COMPANY CL A,Financial Services,Insurance Brokers
ES,EVERSOURCE ENERGY,Utilities,Utilities - Regulated Electric
ESS,ESSEX PROPERTY TRUST INC,Real Estate,REIT - Residential
ETN,EATON CORP PLC,Industrials,Specialty Industrial Machinery
ETR,ENTERGY CORP,Utilities,Utilities - Regulated Electric
EVRG,EVERGY INC,Utilities,Utilities - Regulated Electric
EW,EDWARDS LIFESCIENCES CORP,Healthcare,Medical Devices
EXC,EXELON CORP,Utilities,Utilities - Regulated Electric
EXE,EXPAND ENERGY CORP,Energy,Oil & Gas E&P
EXPD,EXPEDITORS INTL WASH INC,Industrials,Integrated Freight & Logistics
EXPE,EXPEDIA GROUP INC,Consumer Cyclical,Travel Services
EXR,EXTRA SPACE STORAGE INC,Real Estate,REIT - Industrial
F,FORD MOTOR CO,Consumer Cyclical,Auto Manufacturers
FANG,DIAMONDBACK ENERGY INC,Energy,Oil & Gas E&P
FAST,FASTENAL CO,Industrials,Industrial Distribution
FCX,FREEPORT MCMORAN INC,Basic Materials,Copper
FDS,FACTSET RESEARCH SYSTEMS INC,Financial Services,Financial Data & Stock Exchanges
FDX,FEDEX CORP,Industrials,Integrated Freight & Logistics
FDXF,FEDEX FREIGHT HOLDING CO,Industrials,Integrated Freight & Logistics
FE,FIRSTENERGY CORP,Utilities,Utilities - Regulated Electric
FERG,FERGUSON ENTERPRISES INC,Industrials,Industrial Distribution
FFIV,F5 INC,Technology,Software - Infrastructure
FICO,FAIR ISAAC CORP,Technology,Software - Application
FIS,FIDELITY NATIONAL INFO SERV,Technology,Information Technology Services
FITB,FIFTH THIRD BANCORP,Financial Services,Banks - Regional
FIX,COMFORT SYSTEMS USA INC,Industrials,Engineering & Construction
FLEX,FLEX LTD,Technology,Electronic Components
FOX,FOX CORP   CLASS B,Communication Services,Entertainment
FOXA,FOX CORP   CLASS A,Communication Services,Entertainment
FRT,FEDERAL REALTY INVS TRUST,Real Estate,REIT - Retail
FSLR,FIRST SOLAR INC,Technology,Solar
FTNT,FORTINET INC,Technology,Software - Infrastructure
FTV,FORTIVE CORP,Technology,Scientific & Technical Instruments
GD,GENERAL DYNAMICS CORP,Industrials,Aerospace & Defense
GDDY,GODADDY INC   CLASS A,Technology,Software - Infrastructure
GE,GENERAL ELECTRIC,Industrials,Aerospace & Defense
GEHC,GE HEALTHCARE TECHNOLOGY,Healthcare,Medical Devices
GEN,GEN DIGITAL INC,Technology,Software - Infrastructure
GEV,GE VERNOVA INC,Industrials,Specialty Industrial Machinery
GILD,GILEAD SCIENCES INC,Healthcare,Drug Manufacturers - General
GIS,GENERAL MILLS INC,Consumer Defensive,Packaged Foods
GL,GLOBE LIFE INC,Financial Services,Insurance - Life
GLW,CORNING INC,Technology,Electronic Components
GM,GENERAL MOTORS CO,Consumer Cyclical,Auto Manufacturers
GNRC,GENERAC HOLDINGS INC,Industrials,Specialty Industrial Machinery
GOOG,ALPHABET INC CL C,Communication Services,Internet Content & Information
GOOGL,ALPHABET INC CL A,Communication Services,Internet Content & Information
GPC,GENUINE PARTS CO,Consumer Cyclical,Auto Parts
GPN,GLOBAL PAYMENTS INC,Industrials,Specialty Business Services
GRMN,GARMIN LTD,Technology,Scientific & Technical Instruments
GS,GOLDMAN SACHS GROUP INC,Financial Services,Capital Markets
GWW,WW GRAINGER INC,Industrials,Industrial Distribution
HAL,HALLIBURTON CO,Energy,Oil & Gas Equipment & Services
HAS,HASBRO INC,Consumer Cyclical,Leisure
HBAN,HUNTINGTON BANCSHARES INC,Financial Services,Banks - Regional
HCA,HCA HEALTHCARE INC,Healthcare,Medical Care Facilities
HD,HOME DEPOT INC,Consumer Cyclical,Home Improvement Retail
HIG,HARTFORD INSURANCE GROUP INC,Financial Services,Insurance - Diversified
HII,HUNTINGTON INGALLS INDUSTRIE,Industrials,Aerospace & Defense
HLT,HILTON WORLDWIDE HOLDINGS IN,Consumer Cyclical,Lodging
HON,HONEYWELL INTERNATIONAL INC,Industrials,Conglomerates
HONA,HONEYWELL AEROSPACE INC,Industrials,Aerospace & Defense
HOOD,ROBINHOOD MARKETS INC   A,Financial Services,Capital Markets
HPE,HEWLETT PACKARD ENTERPRISE,Technology,Communication Equipment
HPQ,HP INC,Technology,Computer Hardware
HRL,HORMEL FOODS CORP,Consumer Defensive,Packaged Foods
HSIC,HENRY SCHEIN INC,Healthcare,Medical Distribution
HST,HOST HOTELS + RESORTS INC,Real Estate,REIT - Hotel & Motel
HSY,HERSHEY CO/THE,Consumer Defensive,Confectioners
HUBB,HUBBELL INC,Industrials,Electrical Equipment & Parts
HUM,HUMANA INC,Healthcare,Healthcare Plans
HWM,HOWMET AEROSPACE INC,Industrials,Aerospace & Defense
IBKR,INTERACTIVE BROKERS GRO CL A,Financial Services,Capital Markets
IBM,INTL BUSINESS MACHINES CORP,Technology,Information Technology Services
ICE,INTERCONTINENTAL EXCHANGE IN,Financial Services,Financial Data & Stock Exchanges
IDXX,IDEXX LABORATORIES INC,Healthcare,Diagnostics & Research
IEX,IDEX CORP,Industrials,Specialty Industrial Machinery
IFF,INTL FLAVORS + FRAGRANCES,Basic Materials,Specialty Chemicals
INCY,INCYTE CORP,Healthcare,Biotechnology
INTC,INTEL CORP,Technology,Semiconductors
INTU,INTUIT INC,Technology,Software - Application
INVH,INVITATION HOMES INC,Real Estate,REIT - Residential
IP,INTERNATIONAL PAPER CO,Consumer Cyclical,Packaging & Containers
IQV,IQVIA HOLDINGS INC,Healthcare,Diagnostics & Research
IR,INGERSOLL RAND INC,Industrials,Specialty Industrial Machinery
IRM,IRON MOUNTAIN INC,Real Estate,REIT - Specialty
ISRG,INTUITIVE SURGICAL INC,Healthcare,Medical Instruments & Supplies
IT,GARTNER INC,Technology,Information Technology Services
ITW,ILLINOIS TOOL WORKS,Industrials,Specialty Industrial Machinery
IVZ,INVESCO LTD,Financial Services,Asset Management
